current Cycle: ,0
O,F,F,/,U,N,P,L,U,G,G,E,D
2,0,1,4,-,1,1,-,1,9, ,1,6,:,2,4,:,4,2,.,8,8,7,5,3,0
CHG: 4.2,BLEDR2: 2.15,BLEDR1: 2.15,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.06,TLEDR2: 2.31,TLEDR1: 2.32
CHG: 4.2,BLEDR2: 1.93,BLEDR1: 1.89,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.17,TLEDR2: 2.15,TLEDR1: 2.07
CHG: 4.2,BLEDR2: 2.08,BLEDR1: 2.08,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.79,TLEDR2: 2.22,TLEDR1: 2.21
CHG: 4.2,BLEDR2: 2.12,BLEDR1: 2.11,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.53,TLEDR2: 2.23,TLEDR1: 2.22
CHG: 4.2,BLEDR2: 1.96,BLEDR1: 1.94,REAR_LEDS: 4.2,VBAT: 4.2,FRONT_LEDS: 4.18,PG: 0.0,PWM: 0.61,TLEDR2: 2.13,TLEDR1: 2.01
CHG: 4.2,BLEDR2: 2.06,BLEDR1: 2.06,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.64,TLEDR2: 2.2,TLEDR1: 2.17
CHG: 4.2,BLEDR2: 2.08,BLEDR1: 2.08,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 0.69,TLEDR2: 2.18,TLEDR1: 2.17
CHG: 4.22,BLEDR2: 0.96,BLEDR1: 1.02,REAR_LEDS: 4.2,VBAT: 4.2,FRONT_LEDS: 4.19,PG: 0.0,PWM: 1.01,TLEDR2: 1.37,TLEDR1: 1.37
CHG: 4.19,BLEDR2: 1.99,BLEDR1: 1.98,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.36,TLEDR2: 2.15,TLEDR1: 2.13
CHG: 4.2,BLEDR2: 2.09,BLEDR1: 2.08,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.48,TLEDR2: 2.29,TLEDR1: 2.3
CHG: 4.2,BLEDR2: 0.96,BLEDR1: 2.07,REAR_LEDS: 0.0,VBAT: 4.2,FRONT_LEDS: 0.0,PG: 0.0,PWM: 1.7,TLEDR2: 1.37,TLEDR1: 2.18
