Model,MSO4104B-L
Firmware Version,2.90

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.0488
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,0.16
,
,
,
Label,BATT_V
TIME,CH1
-4.2200e-02,0.0011875
-4.2180e-02,-0.0122656
-4.2160e-02,-0.00615625
-4.2140e-02,0.00410938
-4.2120e-02,-0.00783594
-4.2100e-02,-0.00435938
-4.2080e-02,0.000179687
-4.2060e-02,0.000882812
-4.2040e-02,0.000976562
-4.2020e-02,-0.000820312
-4.2000e-02,-0.00766406
-4.1980e-02,-0.000320313
-4.1960e-02,-7.8125e-06
-4.1940e-02,-0.00809375
-4.1920e-02,-0.00622656
-4.1900e-02,-0.00702344
-4.1880e-02,-0.0171562
-4.1860e-02,-0.0104453
-4.1840e-02,-0.0101484
-4.1820e-02,-0.0107031
-4.1800e-02,-0.00379687
-4.1780e-02,0.000914062
-4.1760e-02,-0.00860156
-4.1740e-02,-0.00179687
-4.1720e-02,-0.00509375
-4.1700e-02,-0.00875781
-4.1680e-02,-0.0005
-4.1660e-02,-0.00438281
-4.1640e-02,-0.0147656
-4.1620e-02,-0.00926562
-4.1600e-02,-0.00940625
-4.1580e-02,-0.00980469
-4.1560e-02,0.00363281
-4.1540e-02,0.00120312
-4.1520e-02,-0.0119922
-4.1500e-02,-0.00442188
-4.1480e-02,-0.00452344
-4.1460e-02,-0.00939062
-4.1440e-02,-0.00417188
-4.1420e-02,-0.0099375
-4.1400e-02,-0.0182734
-4.1380e-02,-0.00572656
-4.1360e-02,-0.00492969
-4.1340e-02,-0.00619531
-4.1320e-02,-0.00457813
-4.1300e-02,-0.00841406
-4.1280e-02,-0.00201563
-4.1260e-02,-0.000367188
-4.1240e-02,-0.0020625
-4.1220e-02,-7.03125e-05
-4.1200e-02,0.00566406
-4.1180e-02,-0.00469531
-4.1160e-02,-0.0129922
-4.1140e-02,-0.00442969
-4.1120e-02,-0.0100859
-4.1100e-02,-0.00732813
-4.1080e-02,-0.00391406
-4.1060e-02,-0.00669531
-4.1040e-02,-0.00973437
-4.1020e-02,-0.0003125
-4.1000e-02,-0.00189844
-4.0980e-02,-0.00483594
-4.0960e-02,-0.000890625
-4.0940e-02,-0.0104688
-4.0920e-02,-0.0137656
-4.0900e-02,-0.00450781
-4.0880e-02,-0.0142891
-4.0860e-02,-0.0132266
-4.0840e-02,-0.00608594
-4.0820e-02,-0.00745312
-4.0800e-02,-0.0076875
-4.0780e-02,0.00636719
-4.0760e-02,-0.00640625
-4.0740e-02,-0.0100781
-4.0720e-02,-0.00025
-4.0700e-02,-0.0050625
-4.0680e-02,-0.00710156
-4.0660e-02,0.00128906
-4.0640e-02,-0.0123594
-4.0620e-02,-0.00939062
-4.0600e-02,-0.00169531
-4.0580e-02,-0.00101563
-4.0560e-02,-0.0118281
-4.0540e-02,0.00409375
-4.0520e-02,-0.00833594
-4.0500e-02,-0.0108594
-4.0480e-02,0.00175781
-4.0460e-02,-0.00396094
-4.0440e-02,-0.0083125
-4.0420e-02,-0.00672656
-4.0400e-02,-0.00517969
-4.0380e-02,-0.0109609
-4.0360e-02,0.00103906
-4.0340e-02,-0.0033125
-4.0320e-02,-0.00909375
-4.0300e-02,-0.00432031
